,customer_id,age_group,city,occupation,gender,marital status,avg_income,spending,income_utilization,month,payment_type,category
0,ATQCUS1825,45+,Bengaluru,Salaried IT Employees,Male,Married,73523,1114,1.5151721230091264,July,Credit Card,Health & Wellness
1,ATQCUS0809,25-34,Hyderabad,Salaried Other Employees,Male,Married,39922,1466,3.6721607133911127,October,Credit Card,Groceries
2,ATQCUS0663,25-34,Chennai,Salaried Other Employees,Male,Married,37702,387,1.026470744257599,May,Credit Card,Health & Wellness
3,ATQCUS0452,25-34,Delhi NCR,Government Employees,Male,Married,54090,1137,2.1020521353300055,October,Credit Card,Electronics
4,ATQCUS3350,21-24,Bengaluru,Freelancers,Male,Single,28376,2102,7.407668452213138,September,UPI,Bills
5,ATQCUS3256,21-24,Delhi NCR,Salaried IT Employees,Male,Single,46586,243,0.521615936118147,October,UPI,Health & Wellness
6,ATQCUS3608,25-34,Chennai,Freelancers,Male,Single,34966,268,0.7664588457358578,June,Credit Card,Entertainment
7,ATQCUS0611,25-34,Chennai,Salaried IT Employees,Male,Married,59078,737,1.2475033007210807,August,Debit Card,Apparel
8,ATQCUS3856,21-24,Bengaluru,Salaried Other Employees,Female,Single,30424,506,1.663160662634762,July,UPI,Food
9,ATQCUS2640,35-45,Delhi NCR,Salaried IT Employees,Female,Married,67450,380,0.5633802816901409,September,UPI,Others
10,ATQCUS3008,45+,Mumbai,Government Employees,Female,Married,62542,361,0.5772121134597551,May,UPI,Food
11,ATQCUS2365,25-34,Chennai,Salaried IT Employees,Female,Married,62738,443,0.7061111288214479,August,Debit Card,Entertainment
12,ATQCUS1141,35-45,Delhi NCR,Business Owners,Male,Married,72301,361,0.4993015310991549,September,Credit Card,Groceries
13,ATQCUS2853,35-45,Chennai,Business Owners,Female,Married,74783,56,0.07488332909885936,May,Credit Card,Groceries
14,ATQCUS3020,45+,Delhi NCR,Salaried IT Employees,Female,Married,73754,873,1.1836646148005532,October,Credit Card,Electronics
15,ATQCUS2442,25-34,Chennai,Government Employees,Female,Married,54575,51,0.0934493815849748,June,Net Banking,Apparel
16,ATQCUS3943,25-34,Delhi NCR,Salaried IT Employees,Female,Single,60269,1273,2.112196983523868,August,UPI,Groceries
17,ATQCUS1679,45+,Mumbai,Salaried Other Employees,Male,Married,41845,555,1.3263233361214004,August,Net Banking,Bills
18,ATQCUS0744,25-34,Chennai,Freelancers,Male,Married,33831,410,1.2119062398392006,October,Net Banking,Groceries
19,ATQCUS3335,21-24,Bengaluru,Business Owners,Male,Single,54149,2158,3.985299820864651,May,Debit Card,Health & Wellness
20,ATQCUS0846,25-34,Hyderabad,Business Owners,Male,Married,68634,463,0.6745927674330507,August,Net Banking,Health & Wellness
21,ATQCUS2462,25-34,Hyderabad,Salaried IT Employees,Female,Married,65608,1104,1.6827216193147179,August,UPI,Electronics
22,ATQCUS0916,35-45,Mumbai,Salaried IT Employees,Male,Married,63264,245,0.38726605968639355,May,Debit Card,Travel
23,ATQCUS3766,21-24,Mumbai,Salaried IT Employees,Female,Single,47229,405,0.8575239789112621,September,UPI,Entertainment
24,ATQCUS1285,35-45,Bengaluru,Business Owners,Male,Married,74263,945,1.2725044773305685,July,Credit Card,Apparel
25,ATQCUS3870,21-24,Chennai,Salaried IT Employees,Female,Single,48976,1573,3.211777196994446,June,Credit Card,Travel
26,ATQCUS1414,35-45,Chennai,Salaried Other Employees,Male,Married,42419,1079,2.5436714679742565,August,Credit Card,Apparel
27,ATQCUS3009,45+,Mumbai,Government Employees,Female,Married,56316,706,1.2536401733077633,August,UPI,Health & Wellness
28,ATQCUS3372,21-24,Chennai,Salaried Other Employees,Male,Single,29795,1179,3.9570397717737875,July,Credit Card,Bills
29,ATQCUS0289,25-34,Mumbai,Freelancers,Male,Married,33339,884,2.651549236629773,May,Credit Card,Bills
30,ATQCUS1516,35-45,Chennai,Government Employees,Male,Married,56530,928,1.6416062267822396,October,Debit Card,Apparel
31,ATQCUS2019,21-24,Mumbai,Salaried Other Employees,Female,Married,29380,407,1.385296119809394,May,Debit Card,Entertainment
32,ATQCUS3779,21-24,Mumbai,Salaried Other Employees,Female,Single,31521,806,2.5570254750801054,July,UPI,Bills
33,ATQCUS1603,35-45,Hyderabad,Freelancers,Male,Married,36551,650,1.7783371179995078,September,Credit Card,Apparel
34,ATQCUS2000,45+,Hyderabad,Government Employees,Male,Married,58980,608,1.0308579179382842,June,UPI,Food
35,ATQCUS1715,45+,Mumbai,Business Owners,Male,Married,74750,1496,2.0013377926421403,May,UPI,Bills
36,ATQCUS0005,21-24,Mumbai,Salaried IT Employees,Male,Married,46732,365,0.7810493879996576,May,Credit Card,Food
37,ATQCUS2382,25-34,Chennai,Salaried IT Employees,Female,Married,65280,1687,2.584252450980392,August,UPI,Travel
38,ATQCUS2412,25-34,Chennai,Salaried Other Employees,Female,Married,39722,239,0.6016816877297215,June,UPI,Health & Wellness
39,ATQCUS1967,45+,Hyderabad,Salaried Other Employees,Male,Married,45293,617,1.3622414059567705,September,Debit Card,Electronics
40,ATQCUS0172,25-34,Mumbai,Salaried IT Employees,Male,Married,62524,1125,1.7993090653189177,July,Credit Card,Health & Wellness
41,ATQCUS3292,21-24,Delhi NCR,Freelancers,Male,Single,25862,1007,3.893743716649911,September,UPI,Food
42,ATQCUS2399,25-34,Chennai,Salaried Other Employees,Female,Married,38912,464,1.192434210526316,May,Debit Card,Electronics
43,ATQCUS3222,21-24,Mumbai,Freelancers,Male,Single,28332,1167,4.119017365523083,July,UPI,Entertainment
44,ATQCUS1375,35-45,Chennai,Salaried IT Employees,Male,Married,68311,115,0.16834770388370834,August,Net Banking,Apparel
45,ATQCUS3967,25-34,Bengaluru,Salaried Other Employees,Female,Single,39552,219,0.5537014563106796,June,UPI,Electronics
46,ATQCUS1416,35-45,Chennai,Salaried Other Employees,Male,Married,39455,305,0.7730325687492079,May,UPI,Bills
47,ATQCUS0596,25-34,Bengaluru,Government Employees,Male,Married,51963,329,0.6331428131555146,July,UPI,Electronics
48,ATQCUS0917,35-45,Mumbai,Salaried IT Employees,Male,Married,62891,300,0.4770157892226233,July,Net Banking,Electronics
49,ATQCUS0891,35-45,Mumbai,Salaried IT Employees,Male,Married,64672,283,0.43759277585353784,July,Net Banking,Health & Wellness
50,ATQCUS2068,21-24,Hyderabad,Salaried IT Employees,Female,Married,46827,739,1.5781493582762083,September,Debit Card,Travel
51,ATQCUS2968,45+,Mumbai,Salaried IT Employees,Female,Married,75315,517,0.6864502423156078,October,Debit Card,Food
52,ATQCUS1291,35-45,Bengaluru,Freelancers,Male,Married,39726,968,2.436691335649197,September,Credit Card,Groceries
53,ATQCUS2949,35-45,Hyderabad,Freelancers,Female,Married,36189,877,2.4233883224184143,May,Debit Card,Bills
54,ATQCUS0836,25-34,Hyderabad,Business Owners,Male,Married,66800,161,0.2410179640718563,October,Net Banking,Electronics
55,ATQCUS2176,25-34,Mumbai,Government Employees,Female,Married,52218,213,0.4079053200045962,September,Net Banking,Travel
56,ATQCUS0390,25-34,Delhi NCR,Salaried Other Employees,Male,Married,37383,1309,3.5015916325602547,June,Debit Card,Entertainment
57,ATQCUS2658,35-45,Delhi NCR,Salaried IT Employees,Female,Married,62735,266,0.42400573842352757,July,Net Banking,Bills
58,ATQCUS1075,35-45,Delhi NCR,Salaried IT Employees,Male,Married,62738,68,0.10838726130893558,May,Net Banking,Apparel
59,ATQCUS3792,21-24,Mumbai,Freelancers,Female,Single,27803,245,0.8811998705175701,July,Debit Card,Bills
60,ATQCUS0904,35-45,Mumbai,Salaried IT Employees,Male,Married,66601,187,0.2807765649164427,September,Credit Card,Entertainment
61,ATQCUS0972,35-45,Mumbai,Salaried Other Employees,Male,Married,40937,460,1.1236778464469794,August,Debit Card,Groceries
62,ATQCUS3197,21-24,Mumbai,Salaried Other Employees,Male,Single,28747,89,0.30959752321981426,May,Credit Card,Apparel
63,ATQCUS3453,25-34,Mumbai,Salaried IT Employees,Male,Single,62174,628,1.010068517386689,June,UPI,Entertainment
64,ATQCUS0740,25-34,Chennai,Freelancers,Male,Married,33594,357,1.0626897660296482,May,UPI,Travel
65,ATQCUS0091,21-24,Chennai,Salaried IT Employees,Male,Married,49735,29,0.05830903790087463,October,Net Banking,Others
66,ATQCUS2741,35-45,Bengaluru,Salaried Other Employees,Female,Married,39307,1052,2.676368076932862,September,Credit Card,Groceries
67,ATQCUS1704,45+,Mumbai,Business Owners,Male,Married,81122,766,0.9442567984024063,October,Credit Card,Health & Wellness
68,ATQCUS3103,45+,Chennai,Salaried Other Employees,Female,Married,44719,385,0.8609315950714461,August,UPI,Electronics
69,ATQCUS2435,25-34,Chennai,Freelancers,Female,Married,36434,278,0.7630235494318494,June,Credit Card,Apparel
70,ATQCUS1047,35-45,Mumbai,Freelancers,Male,Married,36321,83,0.22851793728146252,October,Net Banking,Food
71,ATQCUS2431,25-34,Chennai,Freelancers,Female,Married,35389,113,0.3193082596286982,July,UPI,Others
72,ATQCUS1922,45+,Chennai,Salaried Other Employees,Male,Married,41532,40,0.09631127805065973,July,Net Banking,Apparel
73,ATQCUS3345,21-24,Bengaluru,Freelancers,Male,Single,24888,228,0.9161041465766635,August,UPI,Others
74,ATQCUS0915,35-45,Mumbai,Salaried IT Employees,Male,Married,69738,1390,1.9931744529524793,July,Credit Card,Travel
75,ATQCUS2328,25-34,Bengaluru,Freelancers,Female,Married,36307,253,0.6968353210124769,October,Credit Card,Entertainment
76,ATQCUS0495,25-34,Bengaluru,Salaried Other Employees,Male,Married,40683,106,0.26055109013592903,October,Net Banking,Bills
77,ATQCUS2427,25-34,Chennai,Business Owners,Female,Married,73119,290,0.396613739246981,May,Credit Card,Entertainment
78,ATQCUS3813,21-24,Delhi NCR,Salaried IT Employees,Female,Single,47151,102,0.21632627091684162,October,UPI,Bills
79,ATQCUS0797,25-34,Hyderabad,Salaried IT Employees,Male,Married,59666,233,0.390507156504542,June,Debit Card,Apparel
80,ATQCUS3917,25-34,Mumbai,Salaried IT Employees,Female,Single,60324,922,1.528413235196605,October,Debit Card,Food
81,ATQCUS3542,25-34,Bengaluru,Salaried IT Employees,Male,Single,63024,161,0.2554582381315055,July,Net Banking,Food
82,ATQCUS1173,35-45,Delhi NCR,Freelancers,Male,Married,36294,203,0.5593210999063206,July,UPI,Food
83,ATQCUS2204,25-34,Delhi NCR,Salaried IT Employees,Female,Married,65784,89,0.13529125623251856,July,Debit Card,Entertainment
84,ATQCUS1449,35-45,Chennai,Business Owners,Male,Married,74451,2776,3.7286268821103814,August,UPI,Groceries
85,ATQCUS1522,35-45,Hyderabad,Salaried IT Employees,Male,Married,64930,197,0.30340366548590786,July,Net Banking,Travel
86,ATQCUS2921,35-45,Hyderabad,Salaried Other Employees,Female,Married,39913,929,2.327562448325107,September,Debit Card,Electronics
87,ATQCUS1495,35-45,Chennai,Freelancers,Male,Married,38803,639,1.6467798881529778,June,Credit Card,Entertainment
88,ATQCUS3333,21-24,Bengaluru,Business Owners,Male,Single,53441,1093,2.045246159315881,June,Credit Card,Health & Wellness
89,ATQCUS3742,21-24,Mumbai,Salaried IT Employees,Female,Single,48270,1293,2.678682411435674,August,UPI,Health & Wellness
